from,to,weight
1,16,0.503421
1,105,0.994844
1,116,1.92811
1,120,2.20207
1,140,2.93652
1,149,5.49818
1,150,5.54161
2,70,0.16541
2,127,1.52106
2,134,2.44652
2,136,2.23873
2,139,3.11384
2,142,3.32359
2,145,3.85896
3,101,0.591261
3,110,4.14095
3,126,1.6698
3,132,2.18278
3,141,3.50896
3,144,4.26315
3,146,4.4523
4,17,0.107106
4,123,1.02169
4,141,3.34613
4,143,3.80351
4,144,4.10032
4,146,4.28948
4,148,1.95421
5,6,0.971602
5,39,0.483528
5,131,3.18393
5,133,2.92155
5,140,3.76667
5,142,3.99476
5,145,4.53013
6,104,7.00928
6,122,1.12591
6,134,2.90806
6,140,3.55703
6,142,3.78512
6,145,4.32049
7,81,1.96061
7,117,1.08188
7,121,1.22402
7,132,2.36882
7,138,3.66019
7,141,3.695
7,146,4.63834
8,64,1.97965
8,116,1.28849
8,124,1.73886
8,135,2.63515
8,139,2.37866
8,147,4.37853
8,148,4.64755
9,12,0.644569
9,19,0.777562
9,58,3.16228
9,69,1.15256
9,148,4.5427
9,149,4.75371
9,150,4.79714
10,110,4.14095
10,137,1.99654
10,138,2.47552
10,141,2.51033
10,143,2.96771
10,144,3.26452
10,146,3.45368
11,84,1.48853
11,112,1.2779
11,133,2.86492
11,136,2.85326
11,140,3.71003
11,145,4.47349
11,147,7.65942
12,43,0.915469
12,82,0.541232
12,93,1.61486
12,120,2.64377
12,149,5.93988
12,150,5.98331
13,59,0.37851
13,98,0.290953
13,116,0.965379
13,131,2.07466
13,147,4.05542
13,148,4.32444
13,150,4.57887
14,131,3.18393
14,133,2.28366
14,134,2.4798
14,136,2.272
14,139,3.14711
14,140,3.12877
14,142,3.35686
15,37,0.624655
15,100,1.34394
15,112,1.34432
15,128,2.56301
15,133,3.76142
15,136,3.74977
15,139,4.62488
16,92,0.881863
16,102,2.25851
16,119,2.16874
16,135,2.95947
16,148,4.97186
16,149,5.18287
17,80,0.199362
17,123,0.988782
17,138,3.27842
17,143,3.77061
17,144,4.06742
17,146,4.25657
18,55,2.13247
18,92,1.64444
18,104,1.59573
18,116,2.37539
18,119,2.93132
18,121,2.80107
18,150,5.98888
19,51,0.758821
19,129,1.70019
19,134,3.68321
19,148,4.32207
19,149,4.53308
19,150,4.57651
20,28,0.832988
20,65,3.64829
20,110,0.972735
20,119,2.34104
20,125,2.24773
20,147,4.87514
20,150,5.3986
21,52,0.33406
21,76,4.15692
21,138,2.80802
21,141,2.84283
21,143,3.30021
21,144,3.59702
21,146,3.78617
22,98,1.20872
22,108,0.520307
22,109,0.968257
22,118,1.46232
22,124,2.33352
22,148,5.24221
22,149,5.45322
23,100,0.337225
23,113,0.82724
23,129,1.28971
23,130,2.06769
23,147,3.64258
23,148,3.9116
23,149,4.12261
